y,z0,z1,z2
15.769740361875343,1.0,0.0,0.0
9.236356898878189,1.0,0.3,0.09
6.369398794799462,1.0,0.6,0.36
11.42624304717091,1.0,0.8999999999999999,0.8099999999999998
20.201464412330324,1.0,1.2,1.44
16.74065974884379,1.0,1.5,2.25
17.746875944442802,1.0,1.7999999999999998,3.2399999999999993
25.70274028807645,1.0,2.1,4.41
20.881434553536387,1.0,2.4,5.76
28.30678834132386,1.0,2.6999999999999997,7.289999999999998
32.26034765616103,1.0,3.0,9.0
28.869300575630444,1.0,3.3,10.889999999999999
25.281868522131877,1.0,3.5999999999999996,12.959999999999997
33.34422645535321,1.0,3.9,15.209999999999999
42.804473530888245,1.0,4.2,17.64
36.50019424004848,1.0,4.5,20.25
51.316408474786,1.0,4.8,23.04
55.613141434037125,1.0,5.1,26.009999999999998
56.78325073576343,1.0,5.3999999999999995,29.159999999999993
66.90689730366081,1.0,5.7,32.49
69.41752902413661,1.0,6.0,36.0
76.1091537498601,1.0,6.3,39.69
74.0507778844106,1.0,6.6,43.559999999999995
84.07352443818479,1.0,6.8999999999999995,47.60999999999999
79.96206280972415,1.0,7.199999999999999,51.83999999999999
87.60682329298946,1.0,7.5,56.25
90.45525548891632,1.0,7.8,60.839999999999996
109.53615577951847,1.0,8.1,65.61
114.05081934426886,1.0,8.4,70.56
116.54335847626591,1.0,8.7,75.68999999999998
121.08440279488924,1.0,9.0,81.0
136.5826927387185,1.0,9.299999999999999,86.48999999999998
130.4538514092177,1.0,9.6,92.16
147.9232670259384,1.0,9.9,98.01
