数学,理科,英語,国語,社会
67,80,44,69,70
42,58,65,65,46
46,46,46,51,74
78,69,44,64,59
69,77,70,51,58
61,42,47,54,89
65,60,64,61,57
69,60,63,68,67
56,83,60,58,53
47,65,52,57,46
68,47,61,54,71
52,76,60,49,71
64,54,58,75,71
66,52,52,62,67
65,50,66,64,54
61,64,60,66,71
67,65,70,63,66
58,80,55,73,44
56,69,52,57,67
56,56,62,58,69
66,65,53,52,48
56,45,66,78,56
60,66,53,65,71
72,50,78,45,61
71,52,55,38,54
60,71,49,74,75
68,76,64,47,60
65,67,54,58,64
55,63,61,61,58
63,56,48,54,62
77,50,64,35,66
61,60,30,65,44
54,63,49,58,58
54,64,74,49,67
48,61,65,56,82
73,62,51,51,64
50,59,66,66,100
55,64,69,43,69
46,40,32,54,63
80,53,53,62,59
